Año;Mes;IMS Promedio ponderado Privado;IMS Industrias manufactureras;IMS Construcción;IMS Comercio;IMS Hoteles y Restaurantes;IMS Transporte, almacenamiento y comunicaciones;IMS Intermediación financiera;IMS Actividades inmobiliarias;IMS Enseñanza;IMS Servicios sociales y de salud;IMS Promedio simple Público;IMS Gobierno Central;IMS Empresas Públicas;IMS Gobiernos departamentales
2024;10;494,84;474,13;558,24;525,84;493,05;470,11;441,71;663,47;469,87;455,91;436,4566667;469,93;425,28;414,16
2024;11;494,9;474,29;558,24;525,93;493,35;470,52;440,87;663,8;469,79;455,94;436,5833333;469,58;426,01;414,16
2024;12;495,91;475,44;558,24;527,14;494;474,55;441,75;663,85;470,14;455,92;436,83;470,32;426,01;414,16
2025;1;511,43;490,86;561,86;545,97;515,18;492,17;458,27;691,22;471,02;469,91;457,0733333;500,67;449,27;421,28
2025;2;512,93;491,69;561,84;546,05;514,07;492,07;457,86;692,8;492,45;470,9;456,97;500,22;449,39;421,3
2025;3;513,25;492,3;561,84;546,66;514,68;492,28;457,77;692,85;492,82;470,92;457,51;499,13;451,13;422,27
2025;4;515,59;493,33;592,07;546,69;515,43;492,65;457,8;693,32;493,8;470,88;460,3266667;499,51;452,09;429,38
2025;5;515,85;493,93;592,07;546,82;516,37;492,62;458,27;693,39;493,69;470,95;461,07;499,54;452,52;431,15
2025;6;516,04;494,12;592,07;546,75;515,55;493,37;458,33;693,55;494,63;471,17;460,8966667;498,9;452,64;431,15
2025;7;518,71;497,1;592,11;550,39;520,14;495,73;460,49;706,67;491,56;471,24;461,8466667;499,38;451,81;434,35
2025;8;519,69;497,35;592,12;551,17;522,72;499,1;465,41;706,65;491,55;471,26;462,09;499,88;452,04;434,35
2025;9;519,99;497,5;592,01;551;522,3;499,57;467,97;706,86;491,64;471,46;462,0333333;499,55;451,81;434,74
2025;10;520,96;498,97;592,34;552,19;522,71;500,72;468,86;707,1;491,83;472,24;462,4466667;499,55;451,71;436,08
2025;11;523,6;502,18;592,48;552,51;523,7;502,01;471,13;707,31;494,73;479,04;462,6333333;500,11;451,71;436,08
2025;12;525,35;503,9;592,46;554,22;525,39;504,86;471,55;709,09;500,84;480,29;462,58;500,05;451,63;436,06
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
